date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:28:00	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ffe42-247b%22	https://technext.github.io/covid/css/images/ui-icons_2e83ff_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_2e83ff_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:28:00	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ff31e-247b%22	https://technext.github.io/covid/css/images/ui-icons_cd0a0a_256x240.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/images/ui-icons_cd0a0a_256x240.png	(from https://technext.github.io/covid/css/jquery-ui.css)
05:28:01	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	https://technext.github.io/covid/css/owl.video.play.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/owl.video.play.png	(from https://technext.github.io/covid/css/owl.carousel.min.css)
05:28:01	3690/3690	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f64732b-e6a%22	https://technext.github.io/covid/fonts/flaticon/font/Flaticon.eot	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/Flaticon.eot	(from https://technext.github.io/covid/fonts/flaticon/font/flaticon.css)
05:28:02	3690/3690	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f64732b-e6a%22	https://technext.github.io/covid/fonts/flaticon/font/Flaticon.eot?	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/Flaticond41d.eot	(from https://technext.github.io/covid/fonts/flaticon/font/flaticon.css)
05:28:02	1960/1960	---M--	200	added ('OK')	font/woff2	etag:%225f64732b-7a8%22	https://technext.github.io/covid/fonts/flaticon/font/Flaticon.woff2	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/Flaticon.woff2	(from https://technext.github.io/covid/fonts/flaticon/font/flaticon.css)
05:28:03	2556/2556	---M--	200	added ('OK')	font/woff	etag:%225f64732b-9fc%22	https://technext.github.io/covid/fonts/flaticon/font/Flaticon.woff	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/Flaticon.woff	(from https://technext.github.io/covid/fonts/flaticon/font/flaticon.css)
05:28:03	3512/3512	---M-Z	200	added ('OK')	font/ttf	etag:W/%225f64732b-db8%22	https://technext.github.io/covid/fonts/flaticon/font/Flaticon.ttf	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/Flaticon.ttf	(from https://technext.github.io/covid/fonts/flaticon/font/flaticon.css)
05:28:04	11406/11406	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f64732b-2c8e%22	https://technext.github.io/covid/fonts/flaticon/font/Flaticon.svg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/Flaticon.svg	(from https://technext.github.io/covid/fonts/flaticon/font/flaticon.css)
05:28:05	4658/4658	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f64732b-1232%22	https://technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.eot	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.eot	(from https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css)
05:28:05	4658/4658	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f64732b-1232%22	https://technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.eot?	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/Flaticond41d.eot	(from https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css)
05:28:06	2224/2224	---M--	200	added ('OK')	font/woff2	etag:%225f64732b-8b0%22	https://technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.woff2	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.woff2	(from https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css)
05:28:06	2824/2824	---M--	200	added ('OK')	font/woff	etag:%225f64732b-b08%22	https://technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.woff	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.woff	(from https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css)
05:28:07	4480/4480	---M-Z	200	added ('OK')	font/ttf	etag:W/%225f64732b-1180%22	https://technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.ttf	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.ttf	(from https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css)
05:28:07	18243/18243	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f64732b-4743%22	https://technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.svg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/Flaticon.svg	(from https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css)
05:28:09	128562/128562	---M--	200	added ('OK')	image/png	etag:%225f64732b-1f632%22	https://technext.github.io/covid/images/symptoms.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/symptoms.png	(from https://technext.github.io/covid/symptoms.html)
05:28:09	27611/27611	---M--	200	added ('OK')	image/jpeg	etag:%225f64732b-6bdb%22	https://technext.github.io/covid/images/person_1.jpg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/person_1.jpg	(from https://technext.github.io/covid/about.html)
05:28:09	23513/23513	---M--	200	added ('OK')	image/jpeg	etag:%225f64732b-5bd9%22	https://technext.github.io/covid/images/person_2.jpg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/person_2.jpg	(from https://technext.github.io/covid/about.html)
05:28:10	19247/19247	---M--	200	added ('OK')	image/jpeg	etag:%225f64732b-4b2f%22	https://technext.github.io/covid/images/person_3.jpg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/person_3.jpg	(from https://technext.github.io/covid/about.html)
